央视高清,#genre#
吉林卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_JILIN-CQ/1.m3u8?m3u8_level=2
辽宁卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_LIAONING-HD-265-8M/1.m3u8?m3u8_level=2
东南卫视高清,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_DONGNAN-HQ/1.m3u8?m3u8_level=2
四川卫视高清,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_SICHUAN-CQ/1.m3u8?m3u8_level=2
云南卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_YUNNAN-HQ/1.m3u8?m3u8_level=2
贵州卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_GUIZHOU-CQ/1.m3u8?m3u8_level=2
海南卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_HAINAN-HQ/1.m3u8?m3u8_level=2
甘肃卫视高清,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_GANSU-HQ/1.m3u8?m3u8_level=2
河北卫视高清,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_HEBEI-CQ/1.m3u8?m3u8_level=2
河南卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_HENAN-CQ/1.m3u8?m3u8_level=2
厦门卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_XIAMEN/1.m3u8?m3u8_level=2
山西卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_SXWS/1.m3u8?m3u8_level=2
陕西卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_SHANXI/1.m3u8?m3u8_level=2
甘肃卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_GANSU/1.m3u8?m3u8_level=2
青海卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_QINGHAI/G_QINGHAI/1.m3u8?m3u8_level=2
内蒙古卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_NEIMENGGU/1.m3u8?m3u8_level=2
宁夏卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_NINGXIA/1.m3u8?m3u8_level=2
新疆卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_XINJIANG/G_XINJIANG/1.m3u8?m3u8_level=2
兵团卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_BINGTUAN/G_BINGTUAN/1.m3u8?m3u8_level=2
延边卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_YANBIAN/1.m3u8?m3u8_level=2
西藏卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_XIZANG/G_XIZANG/1.m3u8?m3u8_level=2
康巴卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_KANGBA/G_KANGBA/1.m3u8?m3u8_level=2
安多卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_ANDUO/1.m3u8?m3u8_level=2
农林卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_NONGLIN/G_NONGLIN/1.m3u8?m3u8_level=2
山东教育,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_SDETV/G_SDETV/1.m3u8?m3u8_level=2
地方频道,#genre#
江苏城市,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_JSCS/1.m3u8?m3u8_level=2
江苏综艺,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_JSZY/1.m3u8?m3u8_level=2
江苏影视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_JSYS/1.m3u8?m3u8_level=2
江苏公共新闻,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_JSGG/1.m3u8?m3u8_level=2
江苏休闲体育,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_JSTY/1.m3u8?m3u8_level=2
江苏教育,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_JSJY/1.m3u8?m3u8_level=2
南京新闻综合,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_NJXW/1.m3u8?m3u8_level=2
上海纪实高清,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_SHANGHAIJS-HD/G_SHANGHAIJS-HD/1.m3u8?m3u8_level=2
数字频道,#genre#
上海纪实高清,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_SHANGHAIJS-HD/G_SHANGHAIJS-HD/1.m3u8?m3u8_level=2
金鹰纪实高清,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_JINYINGJS-HQ/G_JINYINGJS-HQ/1.m3u8?m3u8_level=2
高尔夫网球,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-GOLF-CQ/G_CCTV-GOLF-CQ/1.m3u8?m3u8_level=2
